2023-03-13 21:47:22,778 INFO    MainThread:100034 [wandb_setup.py:_flush():68] Configure stats pid to 100034
2023-03-13 21:47:22,779 INFO    MainThread:100034 [wandb_setup.py:_flush():68] Loading settings from /home/vikram/.config/wandb/settings
2023-03-13 21:47:22,779 INFO    MainThread:100034 [wandb_setup.py:_flush():68] Loading settings from /home/vikram/Desktop/Deep Learning/cs6910_assignment1/wandb/settings
2023-03-13 21:47:22,779 INFO    MainThread:100034 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-13 21:47:22,779 INFO    MainThread:100034 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/vikram/Desktop/Deep Learning/cs6910_assignment1/main.py'}
2023-03-13 21:47:22,779 INFO    MainThread:100034 [wandb_init.py:_log_setup():492] Logging user logs to /home/vikram/Desktop/Deep Learning/cs6910_assignment1/wandb/run-20230313_214722-6ywlawng/logs/debug.log
2023-03-13 21:47:22,779 INFO    MainThread:100034 [wandb_init.py:_log_setup():493] Logging internal logs to /home/vikram/Desktop/Deep Learning/cs6910_assignment1/wandb/run-20230313_214722-6ywlawng/logs/debug-internal.log
2023-03-13 21:47:22,780 INFO    MainThread:100034 [wandb_init.py:init():532] calling init triggers
2023-03-13 21:47:22,780 INFO    MainThread:100034 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'epochs': 15, 'num_hlayers': 7, 'hidden_size': 128, 'weight_decay': 0.5, 'learning_rate': 0.0004, 'batch_size': 128, 'loss': 'cross_entropy', 'optimizer': 'adam', 'weight_init': 'xavier', 'activation_function': 'leakyrelu', 'momentum': 0.9, 'beta': 0.95, 'beta1': 0.9, 'beta2': 0.999, 'epsilon': 1e-08, 'dataset': 'fashion_mnist'}
2023-03-13 21:47:22,780 INFO    MainThread:100034 [wandb_init.py:init():588] starting backend
2023-03-13 21:47:22,780 INFO    MainThread:100034 [wandb_init.py:init():592] setting up manager
2023-03-13 21:47:22,793 INFO    MainThread:100034 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-13 21:47:22,801 INFO    MainThread:100034 [wandb_init.py:init():599] backend started and connected
2023-03-13 21:47:22,809 INFO    MainThread:100034 [wandb_init.py:init():687] updated telemetry
2023-03-13 21:47:23,076 INFO    MainThread:100034 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-13 21:47:23,964 INFO    MainThread:100034 [wandb_run.py:_on_init():2134] communicating current version
2023-03-13 21:47:26,202 INFO    MainThread:100034 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.13.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-13 21:47:26,202 INFO    MainThread:100034 [wandb_init.py:init():775] starting run threads in backend
2023-03-13 21:47:27,963 INFO    MainThread:100034 [wandb_run.py:_console_start():2114] atexit reg
2023-03-13 21:47:27,963 INFO    MainThread:100034 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-13 21:47:27,963 INFO    MainThread:100034 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-13 21:47:27,963 INFO    MainThread:100034 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-13 21:47:27,964 INFO    MainThread:100034 [wandb_init.py:init():817] run started, returning control to user process
2023-03-13 21:55:37,354 INFO    MainThread:100034 [wandb_run.py:_finish():1854] finishing run cs19b021/cs6910-assignment1/6ywlawng
2023-03-13 21:55:37,354 INFO    MainThread:100034 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 1
2023-03-13 21:55:37,354 INFO    MainThread:100034 [wandb_run.py:_restore():2066] restore
2023-03-13 21:55:37,355 INFO    MainThread:100034 [wandb_run.py:_restore():2072] restore done
